Comment,Designator,Footprint,LCSC
100n,C9,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
33V,D30,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
INA260,U22,TSSOP-16_4.4x5mm_P0.65mm,
Thermocouple_Alt,TC6,JST_GH_BM02B-GHS-TBT_1x02-1MP_P1.25mm_Vertical,
10k,R49,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
275,R9,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
33u,C10,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
SD36_SOD323,D18,D_SOD-323_HandSoldering,
Conn_01x04,J26,JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical,
74LS06,U6,SOIC-14_3.9x8.7mm_P1.27mm,
1k,R26,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
0.1u,C54,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
Conn_01x04,J10,JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical,
2k,R84,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
Conn_ST_STDC14,J7,PinHeader_2x07_P1.27mm_Vertical_SMD,
1nF,C45,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
BTS6143D,U29,TO-252-4,
Conn_01x04,J12,JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical,
1nF,C42,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
0.1u,C1,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
33V,D3,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
825,R19,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
100n,C26,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
5V,D33,SOT-23_Handsoldering,
1.1k,R16,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
10k,R57,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
74LS06,U28,SOIC-14_3.9x8.7mm_P1.27mm,
275,R10,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
1k,R70,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
5V,D9,SOT-23_Handsoldering,
5V,D5,SOT-23_Handsoldering,
1uF,C51,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
1k,R30,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
Fuse,F2,3557-2,
1u,C47,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
10k,R13,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
100k,R73,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
LED,D23,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
1nF,C46,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
LED,D4,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
100n,C14,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
33V,D32,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
2k,R79,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
1nF,C44,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
AD8495,U17,MSOP-8_3x3mm_P0.65mm,
0.1u,C15,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
100k,R39,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
BTS6143D,U3,TO-252-4,
INA260,U13,TSSOP-16_4.4x5mm_P0.65mm,
10k,R61,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
1k,R81,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
1k,R2,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
10k,R38,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
1uF,C33,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
2k,R17,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
100k,R46,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
33V,D2,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
100n,C13,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
BTS6143D,U31,TO-252-4,
Conn_01x04,J32,"PhoenixContact_MSTBA_2,5_4-G-5,08_1x04_P5.08mm_Horizontal",
100n,C23,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
2k,R18,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
1u,C22,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
1k,R27,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
0.1u,C2,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
0.1u,C18,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
100n,C59,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
1nF,C52,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
90 mA; 30 mA; 36V,F10,Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
33V,D27,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
1uF,C41,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
10k,R51,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
SD36_SOD323,D15,D_SOD-323_HandSoldering,
Conn_01x04,J16,JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical,
LM2940IMPX-12/NOPB,U8,DCY0004A_N,
100k,R103,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
AD8495,U19,MSOP-8_3x3mm_P0.65mm,
10k,R32,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
100k,R1,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
500,R63,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
Pololu 36v4 Breakout,U12,pololu,
1uF,C40,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
2.4k,R12,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
Conn_01x04,J25,JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical,
Thermocouple_Alt,TC3,JST_GH_BM02B-GHS-TBT_1x02-1MP_P1.25mm_Vertical,
10k,R41,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
100n,C57,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
4.7k,R35,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
Pololu 36v4 Breakout,U23,pololu,
0.1u,C3,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
90 mA; 30 mA; 36V,F7,Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
100k,R8,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
100k,R3,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
AD4111BCPZ,U10,AD4111BCPZ_ADI,
10k,R59,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
Thermocouple_Alt,TC8,JST_GH_BM02B-GHS-TBT_1x02-1MP_P1.25mm_Vertical,
1nF,C28,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
Conn_01x04,J11,JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical,
90 mA; 30 mA; 36V,F11,Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
5V,D25,SOT-23_Handsoldering,
0.47u,C5,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
10k,R52,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
500,R20,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
AD8495,U18,MSOP-8_3x3mm_P0.65mm,
LED,D22,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
10k,R40,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
1u,C21,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
Thermocouple_Alt,TC5,JST_GH_BM02B-GHS-TBT_1x02-1MP_P1.25mm_Vertical,
Conn_01x04,J22,JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical,
AD4111BCPZ,U11,AD4111BCPZ_ADI,
1k,R29,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
Conn_01x04,J21,JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical,
90 mA; 30 mA; 36V,F9,Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
1k,R4,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
1nF,C49,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
Conn_01x04,J15,"PhoenixContact_MSTBA_2,5_4-G-5,08_1x04_P5.08mm_Horizontal",
BTS6143D,U26,TO-252-4,
2k,R75,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
10k,R56,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
1uF,C48,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
33V,D24,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
100k,R80,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
TJA1462AT/0Z,U24,SO8_SOT96-1_NXP,
100k,R55,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
Conn_01x02,J1,"PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",
